"Bucket","Repo","RelPath","Snippet"
"CoModules","CoCache","docs\ai-guides\PROMPT_TEMPLATES.md","> Using TRUST_PROTOCOL.md and policy lists, scan current session markdown and report only a summary level + “Why?” links. Do NOT store per-user results."
"CoModules","CoCache","docs\ai-guides\REMOTE_AI_GUIDE.md","- Treat `docs/bpoe/trust/{allow,warn,deny}.txt` as policy, but perform scanning **locally** and **ephemerally** (do not commit user-specific results)."
"CoModules","CoCache","docs\ai-guides\TRUST_PROTOCOL.md","**Policy:** `docs/bpoe/trust/allow.txt`, `warn.txt`, `deny.txt`."
"CoModules","CoCache","docs\bpoe\trust\deny.txt","# domains that usually violate policy or are risky"
"CoModules","CoCache","docs\bpoe\TRUST_POLICY.md","# Trust Policy (seed)"
"CoModules","CoCache","docs\lifepath\MasterPlan_RickBallard_v1.md","- Work only on CoModules and Civium projects"
"CoModules","CoCache","docs\plans\MASTER_PLAN.md","- **Contribution Model** — Contributor Merge Policy, Merge Rights & Reputation."
"CoModules","CoCache","docs\streams\TBD\README.md","- [Idea Card: Contributor Merge Policy for CoCivium](../../intake/ideacards/session_250904/20250904_idea-card-contributor-merge-policy-for-cocivium.md)"
"CoModules","CoCache","index\IDEACARDS_250904.md","| Idea Card: Contributor Merge Policy for CoCivium | seed | normal |  | 2025-09-04 | $rel |"
"CoModules","CoCache","intake\cowraps\session_250904\20250904_post-migration-droppings-polish-pmds-plan-session-summary.md","area: [flows|policy|tools|insights|outreach|metrics|lexicon|other]"
"CoModules","CoCache","intake\ideacards\session_250904\20250904_idea-card-contributor-merge-policy-for-cocivium.md","id: ""idea-card-contributor-merge-policy-for-cocivium"""
"CoModules","CoCache","intake\staging\session_250904\raw\IdeaCard_ContributorMergePolicy_20250903.md","# Idea Card: Contributor Merge Policy for CoCivium"
"CoModules","CoCache","intake\staging\session_250904\raw\PMDS_Plan_2025-09-04.md","area: [flows|policy|tools|insights|outreach|metrics|lexicon|other]"
"CoModules","CoCache","tools\Build-CoIndex.ps1","git commit -m (""docs(index): add CoIndex (purpose+policy, table, links, JSON) [{0}]"" -f $ts) 2>$null"
"CoModules","CoCache","tools\CoWrap.ps1","""$HOME\Documents\GitHub\CoModules"""
"CoModules","CoCivium",".github\pull_request_template.md","- [ ] I skimmed the **[Nasties Bucket](docs/ops/policy/NASTIES_BUCKET.md)** and avoided listed items (or clearly marked a poetic/quoted exemption)."
"CoModules","CoCivium",".github\workflows\decision-log-linter.yml","name: Decision Log Linter"
"CoModules","CoCivium",".reports\inventory-20250827-2246.md","b233cff ops/policy v0.4: local-time titles; manual paste == CoPong; planned-wait banner; session-only ??? trigger (product-gated); uninstall hygiene"
"CoModules","CoCivium","admin\assets\admin_CoCivium_Progress_Map_Plan_20250810.md","- **Starpoints (“flies”)**: small luminous nodes marking **key concepts/files** (e.g., MeritRank demo, Opename stub).  **Shooting-star trails** denote recent velocity on those items."
"CoModules","CoCivium","admin\bpoe\mitigations\2025-09-05_advisory-green-but-blocked.md","- **Admin bypass ON** (enforce_admins=false) by policy."
"CoModules","CoCivium","admin\bpoe\mitigations\2025-09-05_advisory-green-but-blocked_fix.md","- **Admin bypass ON** (enforce_admins=false) by policy."
"CoModules","CoCivium","admin\bpoe\mitigations\2025-09-05_mergeability-cache-and-checks.md","- Keep admin bypass ON (policy choice). Make required checks minimal and explicit."
"CoModules","CoCivium","admin\Civium_creator_access_plan_20250719.md","1. A formal policy exemption for Civium-AI observer participation, or"
"CoModules","CoCivium","admin\history\Intersessional_Profile_20250809T054732Z.md","- `/votingengine` – MeritRank (RepMod), deliberation lifecycle, audits."
"CoModules","CoCivium","admin\history\inventory\REPO_SWEEP_20250821_225702.md","C:\\Users\\Chris\\Documents\\GitHub\\CoCivium\\legacy\\CoCivium\_pr\\ci\_og-image-20250813\_2231\\GOVERNANCE.md  ⇐  'Governance Fork \& Reintegration Policy'"
"CoModules","CoCivium","admin\history\pads\RickPad_20250821c.md","Platform Concept: CoCivium as a policy creation and action center."
"CoModules","CoCivium","admin\history\readme_backups\README.md.bak.20250820_004036_194.md","<img src=""./assets/icons/life-line.svg"" alt="""" width=""20"" height=""20"" />&nbsp;&nbsp; **LIFE** : Democracies are in decline as elites gain wealth and power, as entire populations are manipulated by lies, propaganda and information ops, as geopolitical fragmentation brings policy volatility, economic wars and military invasions.  Are governments supposed to serve, or be served?  Did the word ""dignity"" fall out of our Constitution?"
"CoModules","CoCivium","admin\history\readme_backups\README_20250821_214647.backup.md","<img src=""./assets/icons/how-line.svg"" alt="""" width=""20"" height=""20"" />&nbsp;&nbsp; **HOW** : (1) Listen widely to everyday people and experts, (2) Help everyone co-evolve an open, ever-green CoConstitution, (3) Run fast policy loops, (4) Ensure evidence beats bullshite, (5) Use functional ethics and blockchain accountability."
"CoModules","CoCivium","admin\history\readme_backups\README_20250821_215456.backup.md","<img src=""./assets/icons/how-line.svg"" alt="""" width=""20"" height=""20"" />&nbsp;&nbsp; **HOW** : (1) Listen widely to everyday people and experts, (2) Help everyone co-evolve an open, ever-green CoConstitution, (3) Run fast policy loops, (4) Ensure evidence beats bullshite, (5) Use functional ethics and blockchain accountability."
"CoModules","CoCivium","admin\history\retrospectives\2025-08-11_CoCivium_Sprint_Retrospective.md","4. **Branch policy:** `main` is protected.  Use `feat/*` (content add), `chore/*` (moves), `docs/*` (readme polish).  Merge via PR with checklists."
